tallos,sitios ,trat,espacio,pendiente,drenaje ,dosel
96,LaSelva,Cb,8,flat,good,16
48,LaSelva,Ta,8,flat,good,13
123,LaSelva,Vg,8,flat,good,15
39,LaSelva,Ha,8,flat,good,12
71,LaSelva,Vk,8,flat,good,8
48,LaSelva,Vf,16,flat,poor,13
21,Quesada,Cb,16,flat,poor,11
24,Quesada,Ta,16,flat,good,12
24,Quesada,Vg,36,flat,good,26
10,Quesada,Ha,16,flat,poor,13
23,Quesada,Vk,24,sloped,poor,12
38,Quesada,Vf,24,sloped,good,15
2,Paniagua,Cb,4,sloped,good,11
24,Paniagua,Ta,32,flat,good,14
16,Paniagua,Vg,64,sloped,good,10
17,Paniagua,Ha,32,flat,poor,8
19,Paniagua,Vk,24,flat,good,10
1,Paniagua,Vf,32,flat,good,20
97,LaSelva,Cb,8,flat,good,18
42,LaSelva,Ta,8,flat,good,11
117,LaSelva,Vg,8,flat,good,19
47,LaSelva,Ha,8,flat,good,11
65,LaSelva,Vk,8,flat,good,10
53,LaSelva,Vf,16,flat,good,12
36,Quesada,Cb,16,flat,poor,17
33,Quesada,Ta,16,flat,good,18
16,Quesada,Vg,36,flat,good,22
8,Quesada,Ha,16,flat,poor,11
23,Quesada,Vk,24,flat,poor,13
48,Quesada,Vf,24,sloped,good,11
3,Paniagua,Cb,4,sloped,good,11
22,Paniagua,Ta,32,flat,good,14
20,Paniagua,Vg,64,sloped,good,10
24,Paniagua,Ha,32,flat,poor,8
16,Paniagua,Vk,24,flat,good,10
1,Paniagua,Vf,32,flat,good,20
91,LaSelva,Cb,8,flat,good,18
31,LaSelva,Ta,8,flat,good,13
95,LaSelva,Vg,8,flat,good,15
35,LaSelva,Ha,8,flat,good,12
54,LaSelva,Vk,8,flat,good,8
47,LaSelva,Vf,16,flat,poor,13
25,Quesada,Cb,16,flat,poor,11
31,Quesada,Ta,16,flat,good,13
14,Quesada,Vg,36,flat,good,26
2,Quesada,Ha,16,flat,poor,14
22,Quesada,Vk,24,sloped,good,12
46,Quesada,Vf,24,sloped,good,15
4,Paniagua,Cb,4,sloped,good,12
25,Paniagua,Ta,32,flat,good,14
32,Paniagua,Vg,64,flat,good,10
23,Paniagua,Ha,32,flat,poor,9
23,Paniagua,Vk,24,flat,good,10
0,Paniagua,Vf,32,flat,good,18
99,LaSelva,Cb,8,flat,good,16
31,LaSelva,Ta,8,flat,good,13
111,LaSelva,Vg,8,flat,good,17
41,LaSelva,Ha,8,flat,good,12
74,LaSelva,Vk,8,flat,good,8
39,LaSelva,Vf,16,flat,good,13
37,Quesada,Cb,16,flat,poor,11
34,Quesada,Ta,16,flat,good,12
23,Quesada,Vg,36,flat,good,23
12,Quesada,Ha,16,flat,poor,13
23,Quesada,Vk,24,flat,poor,12
47,Quesada,Vf,24,sloped,good,15
17,Paniagua,Ta,32,flat,good,14
15,Paniagua,Vg,64,sloped,good,10
22,Paniagua,Ha,32,flat,poor,8
18,Paniagua,Vk,24,flat,good,12
2,Paniagua,Vf,32,flat,good,20
87,LaSelva,Cb,8,flat,good,16
44,LaSelva,Ta,8,flat,good,13
96,LaSelva,Vg,8,flat,good,16
60,LaSelva,Ha,8,flat,good,12
66,LaSelva,Vk,8,flat,good,9
42,LaSelva,Vf,16,flat,poor,13
23,Quesada,Cb,16,flat,poor,11
38,Quesada,Ta,16,flat,poor,12
12,Quesada,Vg,36,flat,good,22
8,Quesada,Ha,16,flat,poor,13
32,Quesada,Vk,24,sloped,good,11
53,Quesada,Vf,24,flat,good,19
2,Paniagua,Cb,4,sloped,good,11
23,Paniagua,Ta,32,flat,good,11
16,Paniagua,Vg,64,sloped,good,10
21,Paniagua,Ha,32,flat,poor,7
11,Paniagua,Vk,24,flat,good,15
2,Paniagua,Vf,32,flat,good,19
